n_vars,cv_r2_mean,cv_r2_std
1,0.5622418065065571,0.059314367249015516
2,0.5871093353019466,0.07905725878197511
3,0.6324096939782357,0.08815976911124573
4,0.8011379287779988,0.05398619909439691
5,0.8421899607370973,0.0656189212299721
6,0.8763033447139431,0.05148011553802802
7,0.8728867266237286,0.056900142675976165
8,0.8726956707007677,0.055369092233556017
9,0.875385149610081,0.05000789137020014
10,0.8812069237950195,0.043190248432453254
11,0.8839984917554485,0.04820044649607726
12,0.8926627300846096,0.04461421146906276
13,0.8984117840702319,0.05034129940040236
14,0.8996170434064229,0.049854855787946434
15,0.9053475921896517,0.04673301672232269
16,0.908462588655345,0.04509391060644088
17,0.9111759226532378,0.042762022528375264
18,0.9103057355697004,0.04308044779642121
19,0.9100517678125879,0.04507973290859015
20,0.9102968602644186,0.04408867835684261
21,0.9082369888199835,0.04711796987181736
22,0.9092511827817649,0.045673825649997106
23,0.9073366949951025,0.04643368539472617
24,0.9032995024548537,0.049533840266808016
25,0.9014219017502842,0.051799631050005096
26,0.8993163011144312,0.05152692455134892
27,0.8970765056680469,0.04931796258711556
28,0.8908233179237168,0.0574534658539335
29,0.8838874293706634,0.06619943863795916
30,0.8837608593615613,0.06562017103179324
31,0.8806872839988504,0.0687519736474687
32,0.8746628937523901,0.06764761245454678
33,0.8678562878236656,0.06645425016805656
34,0.8663966411854854,0.0669917330237983
35,0.8576394143418279,0.0628194998506364
36,0.8551780527308536,0.06370397199128867
37,0.8530841954710704,0.06257600965816604
38,0.8494236146883075,0.062443226279220464
39,0.8456747912096747,0.0637266284832834
