feature,feature_full,SRC,abs_SRC,CI_low,CI_high,sign_stable
operation_hours,Total annual operating hours of system (h),0.5338107022078726,0.5338107022078726,0.2565619947011651,0.575631533434974,True
cop_cooling,Rated COP of refrigeration unit (-),-0.5281931832795392,0.5281931832795392,-0.46812768085813145,-0.23427190778423093,True
cop_heating,COP of heat pump heating (-),-0.3684697084441846,0.3684697084441846,-0.37632511048775014,-0.1536959728006355,True
dhw_per_person,Daily domestic hot water consumption per capita (m3/(person.d)),0.24486962216834926,0.24486962216834926,0.08600402888451719,0.30646478029429114,True
orientation_sin,Sine term of overall building orientation (-),-0.22086399681461652,0.22086399681461652,-0.08493721949945816,0.14592847724517205,False
wwr,Overall window-to-wall ratio (-),0.20182979142670293,0.20182979142670293,0.055390077576930284,0.26117141990980514,True
floor_num,Total number of floors (floors),-0.19002615413450044,0.19002615413450044,-0.12350838778311277,0.09971323948731062,False
orientation_cos,Cosine term of overall building orientation (-),-0.1845246122679343,0.1845246122679343,-0.17035228337903133,0.06485606137714439,False
shgc_e,Solar heat gain coefficient of east-facing windows (-),0.16958630478024592,0.16958630478024592,-0.10977892363536394,0.11918387193558697,False
u_wall,Heat transfer coefficient of main external wall structure (W/(m2.K)),0.16783145318589504,0.16783145318589504,-0.04323613699090643,0.16357584042883508,False
u_win_w,Heat transfer coefficient of west-facing windows (W/(m2.K)),0.1373561306488512,0.1373561306488512,-0.046147870273068395,0.15673660194531525,False
u_roof,Heat transfer coefficient of roof (W/(m2.K)),0.13637784389084465,0.13637784389084465,-0.15004758738019516,0.05881086119546329,False
footprint_area_m2,Building footprint area = main building length × main building width (m2),-0.13411748034046816,0.13411748034046816,-0.13202460783607353,0.07772599244119167,False
cool_set,Summer cooling set temperature (°C),-0.125594988263388,0.125594988263388,-0.08532627234372321,0.1270783087471584,False
u_win_s,Heat transfer coefficient of south-facing windows (W/(m2.K)),0.11559631749916784,0.11559631749916784,-0.08032931679920613,0.10729751977606782,False
u_win_n,Heat transfer coefficient of north-facing windows (W/(m2.K)),0.11431202097296715,0.11431202097296715,-0.043065717911796975,0.16263866006782096,False
dhw_temp,Domestic hot water supply temperature (°C),0.10215521832399753,0.10215521832399753,-0.07407128912205957,0.12099801872807472,False
floor_height,Standard floor height (m),0.09068258320035781,0.09068258320035781,-0.08300318007303652,0.14877429947146142,False
aspect_ratio,Building length-to-width ratio (-),-0.08608724928158791,0.08608724928158791,-0.19770998664421663,0.05179739224300957,False
window_type_3,Window construction type dummy: Type 3 relative to Type 1 baseline (-),-0.076559696341482,0.076559696341482,-0.05736745801592829,0.1298993104204594,False
fresh_air_ach,Fresh air exchange rate (times/h),0.07652716903492562,0.07652716903492562,-0.09011046498532044,0.08969619812812508,False
boiler_eff,Thermal efficiency of hot water boiler (-),-0.07428984601838727,0.07428984601838727,-0.10602664375016913,0.08327641115432417,False
shgc_s,Solar heat gain coefficient of south-facing windows (-),0.0633764310493769,0.0633764310493769,-0.09122004712018729,0.12143379954806824,False
fan_eff,Efficiency of air conditioning fan (-),0.06260459277427362,0.06260459277427362,-0.13061082685460887,0.10173421585859949,False
wall_thick,External wall structure thickness (m),-0.062398520766850166,0.062398520766850166,-0.1891797606706903,0.06554262088622671,False
heat_set,Winter heating set temperature (°C),0.05633246923520066,0.05633246923520066,-0.10614049401884729,0.10506388895572462,False
insul_thick,External wall insulation layer thickness (m),0.052910422860551046,0.052910422860551046,-0.0969684011288921,0.11724693023760338,False
roof_insul_thick,Roof insulation layer thickness (m),-0.043250061312572786,0.043250061312572786,-0.09394526876971661,0.11045224372447142,False
room_area,Floor area of a single guest room (m2),0.041042153803329796,0.041042153803329796,-0.16718309781701385,0.04800729705235853,False
u_ground,Heat transfer coefficient of ground foundation (W/(m2.K)),0.04017819463447852,0.04017819463447852,-0.1665260447696826,0.07935698858790716,False
light_power,Indoor lighting power density (W/m2),-0.03770252583733907,0.03770252583733907,-0.05890406193270056,0.13568473013123783,False
equip_power,Indoor equipment power density (W/m2),0.03519046953862978,0.03519046953862978,-0.1499374943904254,0.10001298995206462,False
shgc_w,Solar heat gain coefficient of west-facing windows (-),-0.024310092120021897,0.024310092120021897,-0.0647333505623572,0.1681657301097632,False
window_type_2,Window construction type dummy: Type 2 relative to Type 1 baseline (-),0.021133073643462032,0.021133073643462032,-0.06248828713170334,0.1292321588305201,False
occupancy_density,Personnel density (person/m2),-0.020041130657328453,0.020041130657328453,-0.10264611560203123,0.09349608227274045,False
room_count,Total number of guest rooms (rooms),0.01767416960804546,0.01767416960804546,-0.16480797330644115,0.07251060833316017,False
u_win_e,Heat transfer coefficient of east-facing windows (W/(m2.K)),0.015191233059188089,0.015191233059188089,-0.11540965117076407,0.12300126783423206,False
shgc_n,Solar heat gain coefficient of north-facing windows (-),-0.01232458481313334,0.01232458481313334,-0.10536005127575328,0.11032071675850477,False
public_area,Total area of public areas (m2),0.007782002828599637,0.007782002828599637,-0.0884783205276132,0.1290570832970224,False
